id_recette,temps_prepa,temps_cuisson,temps_total,niv_difficulte,coÃ»t
1,15_min,25_min,40_min,2,1
2,15_min,5_min,20_min,1,1
3,60_min,5_min,65_min,2,4
4,10_min,15_min,25_min,1,2
5,20_min,20_min,40_min,2,1
6,40_min,10_min,50_min,1,1
7,35_min,5_min,40_min,2,2
8,20_min,75_min,95_min,2,1
9,20_min,15_min,35_min,2,2
10,15_min,35_min,40_min,5,5
11,15_min,240_min,255_min,1,1
12,20_min,10_min,30_min,1,1
13,20_min,45_min,65_min,2,2
14,30_min,15_min,45_min,3,3
15,15_min,12_min,27_min,2,3
16,60_min,300_min,360_min,2,3
17,60_min,15_min,75_min,4,3
18,15_min,45_min,60_min,1,1
19,10_min,20_min,30_min,1,2
20,20_min,30_min,50_min,2,3
21,25_min,45_min,70_min,2,2
22,30_min,25_min,55_min,2,1
23,10_min,30_min,40_min,1,1
24,60_min,30_min,90_min,4,3
25,90_min,12_min,102_min,5,2
26,5_min,10_min,15_min,1,1
27,30_min,25_min,55_min,3,2
28,15_min,5_min,20_min,2,2
29,120_min,3_min,123_min,3,2
30,25_min,30_min,55_min,2,2
31,30_min,75_min,105_min,2,1
32,60_min,50_min,110_min,2,3
33,60_min,15_min,75_min,2,3
34,30_min,30_min,60_min,1,1
35,15_min,0_min,15_min,1,1
36,25_min,0_min,25_min,1,1
37,60_min,10_min,70_min,2,2
38,30_min,30_min,60_min,2,2
39,15_min,10_min,25_min,1,1
40,30_min,15_min,45_min,2,1
41,20_min,0_min,20_min,1,1
42,30_min,0_min,30_min,1,1
43,45_min,30_min,75_min,2,2
44,40_min,0_min,40_min,2,2
45,30_min,0_min,30_min,1,2
46,20_min,0_min,20_min,1,2
47,20_min,10_min,30_min,1,1
48,40_min,8_min,48_min,1,1
49,15_min,45_min,60_min,1,1
50,15_min,30_min,45_min,2,2
